Close,High,Low
1.0319,1.0415,1.028
1.0317,1.0345,1.0297
1.0325,1.0355,1.0299
1.0407,1.044,1.03
1.0293,1.0435,1.0263
1.031,1.0333,1.0246
1.0315,1.0341,1.029
1.0271,1.0335,1.0258
1.019,1.028,1.0156
1.019,1.021,1.0134
1.0164,1.0195,1.0076
1.0103,1.02,1.0037
1.0086,1.0145,1.0045
1.0087,1.0125,1.0047
1.0026,1.0125,1
1.0024,1.004,0.9995
1.0224,1.0267,1
1.0247,1.0295,1.0198
1.0274,1.0285,1.0223
1.0213,1.0285,1.0157
1.012,1.0225,1.0113
1.014,1.016,1.0107
1.0055,1.0145,1.0028
1.007,1.0089,1.0014
1.0167,1.019,1.0065
1.008,1.0245,1.006
1.0116,1.014,1.004
1.0086,1.015,1.0075
1.0088,1.011,1.006
1.0147,1.0179,1.007
1.013,1.016,1.0115
1.0126,1.0155,1.0106
1.0059,1.0145,1.0038
1.0054,1.0105,1.0037
1.0087,1.0092,1.0022
1.0107,1.0117,1.0045
1.0276,1.028,1.0052
1.0299,1.0342,1.0215
1.0317,1.04,1.0285
1.0299,1.0412,1.0276
1.0283,1.033,1.0256
1.0256,1.03,1.0205
1.0326,1.0337,1.0245
1.0312,1.032,1.0263
1.0257,1.0315,1.0237
1.0142,1.0223,1.0112
1.0118,1.0145,1.0075
1.0122,1.014,1.0075
1.0123,1.0127,1.0086
1.0167,1.0186,1.0075
1.0098,1.019,1.0048
1.0043,1.007,1.0001
1.0017,1.0095,0.999
1.0013,1.0055,0.9995
0.9877,1.003,0.9869
0.9773,0.989,0.9738
0.9695,0.9825,0.9667
0.9732,0.9779,0.9665
0.9756,0.98,0.969
0.9901,0.9947,0.9715
0.9825,0.994,0.9751
0.9802,0.983,0.9755
0.9857,0.9915,0.9785
0.9922,0.9967,0.985
0.9862,0.996,0.9832
0.987,0.9879,0.979
0.9813,0.9915,0.9777
0.9813,0.9861,0.9765
0.9865,0.987,0.979
0.9886,0.9955,0.9837
0.9847,0.99,0.9811
0.987,0.989,0.9845
1.005,1.0081,0.987
1.0029,1.009,1.0011
0.9943,1.004,0.9888
0.9742,0.9925,0.9725
0.9728,0.9745,0.939
0.9664,0.987,0.9645
0.9743,0.9767,0.9625
0.9662,0.9795,0.9612
0.9617,0.968,0.9591
0.9591,0.967,0.956
0.957,0.9625,0.9528
0.9613,0.9632,0.9522
0.9678,0.9698,0.9595
0.963,0.9685,0.9599
0.9646,0.973,0.9615
0.9672,0.9683,0.9592
0.968,0.9712,0.964
0.9715,0.974,0.9645
0.9726,0.9731,0.9658
0.9733,0.9745,0.9685
0.9644,0.9735,0.9632
0.9602,0.963,0.9579
0.972,0.9732,0.96
0.9751,0.9773,0.9674
0.9655,0.979,0.9633
0.9614,0.9699,0.9598
0.9507,0.96,0.9477
0.9611,0.9624,0.9512
0.9557,0.963,0.953
0.9581,0.9604,0.95
0.9637,0.9756,0.9516
0.9628,0.971,0.9595
0.9602,0.9645,0.9567
0.9547,0.9615,0.9537
0.9615,0.9627,0.9535
0.9589,0.9646,0.9564
0.9562,0.96,0.952
0.9541,0.9595,0.9513
0.9596,0.962,0.951
0.9535,0.967,0.9522
0.9474,0.9525,0.9426
0.9397,0.949,0.936
0.9375,0.9425,0.9358
0.938,0.9397,0.9366
0.9395,0.9449,0.9365
0.92,0.9395,0.9163
0.9235,0.925,0.9175
0.9107,0.9249,0.906
0.9093,0.9136,0.903
0.9166,0.9171,0.9071
0.9075,0.9172,0.9033
0.895,0.9106,0.8886
0.8902,0.897,0.8845
0.8985,0.9011,0.8905
0.8917,0.9045,0.8919
